compound_id,InChIKey,canonical_smiles,scaffold,exact_scaffold_hit,similar_scaffold_hit,Note
1625,VWYANPOOORUCFJ-UHFFFAOYSA-N,CC(C)C1CCC2C1(C)CCC1(C)C3CCC4C(C)(CCC(O)C4(C)C)C3=CCC21C,C1=C2C3CCCCC3CCC2C2CCC3CCCC3C2C1,FALSE,TRUE,Similar
1843,KJXUHHARWYEHNL-UHFFFAOYSA-N,CC(C)C1CC(O)C2C1(CO)CCC1(C)C3C(=CCC21C)C1(C)CC(O)C(O)C(C)(C)C1CC3O,C1=C2C3CCCCC3CCC2C2CCC3CCCC3C2C1,FALSE,TRUE,Similar
1921,PZBGHZIQCYOWLL-UHFFFAOYSA-N,CC(C)C1CC(O)C2C1(C)CCC1(C)C3C(=CCC21C)C1(C)CCC(O)C(C)(C)C1CC3O,C1=C2C3CCCCC3CCC2C2CCC3CCCC3C2C1,FALSE,TRUE,Similar
2072,YALFFHSIVPCNLF-UHFFFAOYSA-N,C=C(C)C1CCC2(C)CCC(O)C2(C(C)=O)C1,C1CCC2CCCC2C1,FALSE,TRUE,Similar
2085,JTXWJQOIXGIONJ-UHFFFAOYSA-N,CC(C)C1CC(O)C2C1(CO)CCC1(C)C3C(=CCC21C)C1(C)CCC(O)C(C)(C)C1CC3O,C1=C2C3CCCCC3CCC2C2CCC3CCCC3C2C1,FALSE,TRUE,Similar
2269,PGQHNWFAZVHVPQ-UHFFFAOYSA-N,CC(C)C1CC(O)C2C1(C)CCC1(C)C3C(=CCC21C)C1(C)CC(O)C(O)C(C)(C)C1CC3O,C1=C2C3CCCCC3CCC2C2CCC3CCCC3C2C1,FALSE,TRUE,Similar
2397,MRNPHCMRIQYRFU-UHFFFAOYSA-N,COC1CCC2(C)C3=CCC4(C)C5CCC(C(C)C)C5(C)CCC4(C)C3CCC2C1(C)C,C1=C2C3CCCCC3CCC2C2CCC3CCCC3C2C1,FALSE,TRUE,Similar
3116,WQWTUUFHPFYTRZ-UHFFFAOYSA-N,CC(=O)OC1CCC2(C)C3=CCC4(C)C5CCC(C(C)C)C5(C)CCC4(C)C3CCC2C1(C)C,C1=C2C3CCCCC3CCC2C2CCC3CCCC3C2C1,FALSE,TRUE,Similar
3648,XUVQJFBJHKRROA-UHFFFAOYSA-N,CC(C)C1CCC2(C)C(O)CCC(C)(O)C(O)C12,C1CCC2CCCC2CC1,FALSE,TRUE,Similar
3960,LLPFSRAEGGPMHE-UHFFFAOYSA-N,CC(C)C1CCC2(O)C(O)CCC(C)(O)C(O)C12,C1CCC2CCCC2CC1,FALSE,TRUE,Similar
4024,PLLSZDUGGPZQOO-UHFFFAOYSA-N,CC(C)C1CCC(O)C2CCC(C=O)C12,C1CCC2CCCC2C1,FALSE,TRUE,Similar
6194,DLURQEMMMGZLDY-UHFFFAOYSA-N,CC1(Cl)CCC(O)(C2(C)C(O)CC(Br)C2(C)C)CC1Br,C1CCC(C2CCCC2)CC1,FALSE,TRUE,Similar
6255,AALBGIFTYSUZNT-UHFFFAOYSA-N,CC1(C)CC2C(O)C(O)CC(C)(CCO)C2C1,C1CCC2CCCC2C1,FALSE,TRUE,Similar
6270,JJIDHOHXEQUISB-UHFFFAOYSA-N,CC1(Cl)CCC(O)(C2(C)CCC(Br)C2(C)C)CC1Br,C1CCC(C2CCCC2)CC1,FALSE,TRUE,Similar
6819,ZQAHQWWQIABQLT-UHFFFAOYSA-N,CC1(C)CC2C(O)C(O)CC(C)(CCOC(=O)C(C)(C)C)C2C1,C1CCC2CCCC2C1,FALSE,TRUE,Similar
6834,SKPUHXLYHIKKLH-UHFFFAOYSA-N,CC(=O)OCCC1(C)CC(OC(C)=O)C(OC(C)=O)C2CC(C)(C)CC21,C1CCC2CCCC2C1,FALSE,TRUE,Similar
6837,YZHYAKQANFUWDQ-UHFFFAOYSA-N,CC(=O)OC1CC(C)(Cl)C(Br)CC1(O)C1(C)C(O)CC(Br)C1(C)C,C1CCC(C2CCCC2)CC1,FALSE,TRUE,Similar
8768,CURUTKGFNZGFSE-UHFFFAOYSA-N,CCN(CC)CCOC(=O)C1(C2CCCCC2)CCCCC1,C1CCC(C2CCCCC2)CC1,FALSE,TRUE,Similar
10167,XKYZQPLLLQGSRQ-UHFFFAOYSA-N,CC(C)C1CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(C)C5CCC43C)C12,C1=C2C3CCCC3CCC2C2CCC3CCCCC3C2C1,FALSE,TRUE,Similar
10352,SEUSNJUQUVUXAA-UHFFFAOYSA-N,CC(C)C1CC(O)C2C1(C)CCC1(C)C3CCC4C(C)(CCC(O)C4(C)C)C3=CCC21C,C1=C2C3CCCCC3CCC2C2CCC3CCCC3C2C1,FALSE,TRUE,Similar
10417,AZRLXPLRYMPSOI-UHFFFAOYSA-N,CC(C)C1CCC2(C)C(O)CC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,C1=C2C3CCCC3CCC2C2CCC3CCCCC3C2C1,FALSE,TRUE,Similar
11057,IAPXYCMXNFXQLY-UHFFFAOYSA-N,CC(=O)OC1CCC2(C)C(CCC3(C)C2CC=C2C4C(C(C)C)CCC4(C)CCC23C)C1(C)C,C1=C2C3CCCC3CCC2C2CCC3CCCCC3C2C1,FALSE,TRUE,Similar
11529,YVFUWFRLVWFNLF-UHFFFAOYSA-N,C=C(C)C1CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CC(O)C(O)C(C)(C)C5CCC43C)C12,C1=C2C3CCCC3CCC2C2CCC3CCCCC3C2C1,FALSE,TRUE,Similar
11993,JQHTXZNYHSCIFE-UHFFFAOYSA-N,CC(C)(O)CC1CCC2(C)C(O)CCC(C)(O)C12,C1CCC2CCCC2C1,FALSE,TRUE,Similar
12532,VYOZKWKETGHHDW-UHFFFAOYSA-N,C=C(C)C1CCC(C)(O)C2CCC(C)C2C1,C1CCC2CCCC2CC1,FALSE,TRUE,Similar
14349,PLBUOEGUHNLVRB-UHFFFAOYSA-N,CC(=O)OC1CCC2(C)C3=CCC4C5C(C(C)C)CCC5(C)CCC4(C)C3(C)CCC2C1(C)C,C1=C2C3CCCCC3CCC2C2CCC3CCCC3C2C1,FALSE,TRUE,Similar
14655,DKVGZFGCLJVLKK-UHFFFAOYSA-N,CC(C)C1CC(O)C2C1(CO)CCC1(C)C3CCC4C(C)(CCC(O)C4(C)C)C3=CCC21C,C1=C2C3CCCCC3CCC2C2CCC3CCCC3C2C1,FALSE,TRUE,Similar
15921,NPBYTIHOCDRNRJ-UHFFFAOYSA-N,CC(=O)OC1CCC(C)(O)C2C(CC(C)(C)O)CCC12C,C1CCC2CCCC2C1,FALSE,TRUE,Similar
16911,FKMCEEHVCIIPLE-UHFFFAOYSA-N,CC(C)=CC1CCC2(C)C(O)CCC(C)(O)C12,C1CCC2CCCC2C1,FALSE,TRUE,Similar
18620,MVIRDLIVVBWEQK-UHFFFAOYSA-N,CC(=O)C12CC(C(C)(C)O)CCC1(C)CCC2O,C1CCC2CCCC2C1,FALSE,TRUE,Similar
18846,ARUKYTASOALXFG-UHFFFAOYSA-N,C1CCCC(C2CCCCCC2)CC1,C1CCCC(C2CCCCCC2)CC1,FALSE,TRUE,Similar
20551,MGVRARFPKYMFHG-UHFFFAOYSA-N,C=C(C)C1CCC2(CO)CCC3(CO)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,C1=C2C3CCCC3CCC2C2CCC3CCCCC3C2C1,FALSE,TRUE,Similar
20810,BNRNAKTVFSZAFA-UHFFFAOYSA-N,C1CCC2CCCC2C1,C1CCC2CCCC2C1,FALSE,TRUE,Similar
22129,RQHOQQOEZPFYTD-UHFFFAOYSA-N,C=C(C)C1CCC(C)(O)C2CCC(C)(O)C2C1,C1CCC2CCCC2CC1,FALSE,TRUE,Similar
22299,YBRJHZPWOMJYKQ-UHFFFAOYSA-N,CC1(C)CC2C3=CCC4C5(C)CCC(O)C(C)(C)C5CCC4(C)C3(C)CCC2(C(=O)O)C1,C1=C2C3CCCC3CCC2C2CCC3CCCCC3C2C1,FALSE,TRUE,Similar
22322,KOQBBUWNLZFEMV-UHFFFAOYSA-N,CC(C)C1CCC2(C(=O)O)CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,C1=C2C3CCCC3CCC2C2CCC3CCCCC3C2C1,FALSE,TRUE,Similar
22637,ZHDRLFGZQZCZKX-UHFFFAOYSA-N,CC(C)C1CCC2C1(C)CCC1(C)C3CCC4C(C)(C)CCCC4(C)C3=CCC21C,C1=C2C3CCCCC3CCC2C2CCC3CCCC3C2C1,FALSE,TRUE,Similar
22721,QAQCPAHQVOKALN-UHFFFAOYSA-N,CC(C)C1CCC(C)C2CCC(C)C2C1,C1CCC2CCCC2CC1,FALSE,TRUE,Similar
22722,SSCVGFQOFLDIGI-UHFFFAOYSA-N,CC(=O)C1C(C(C)C)CCC2(C)CCCC12,C1CCC2CCCC2C1,FALSE,TRUE,Similar
22904,MAZFBCJNIUKTID-UHFFFAOYSA-N,CC(C)C1(O)CCC(C)(O)C2CCC(C)(O)C2C1O,C1CCC2CCCC2CC1,FALSE,TRUE,Similar
23394,FOFPZJOWGBADIY-UHFFFAOYSA-N,CC1(C)CCCC1C1CCCCC1,C1CCC(C2CCCC2)CC1,FALSE,TRUE,Similar
23691,WLXJHVQYKOJBBN-UHFFFAOYSA-N,CC(=O)C1CCC2C1C(C(C)C)CCC2(C)O,C1CCC2CCCC2C1,FALSE,TRUE,Similar
25953,WVIIMZNLDWSIRH-UHFFFAOYSA-N,C1CCC(C2CCCCC2)CC1,C1CCC(C2CCCCC2)CC1,FALSE,TRUE,Similar
26346,YCHDRKAWJJJVIH-UHFFFAOYSA-N,C=C(C)C1CCC(C)C2(O)CCC(C)C2C1,C1CCC2CCCC2CC1,FALSE,TRUE,Similar
27425,JBMKRBYWTDYYDW-UHFFFAOYSA-N,CC(=O)OCC12CCC3(C)C4C(=CCC3(C)C1C(O)CC2C(C)C)C1(C)CC(O)C(O)C(C)(C)C1CC4O,C1=C2C3CCCCC3CCC2C2CCC3CCCC3C2C1,FALSE,TRUE,Similar
27756,FQHMGDGIXBLTOA-UHFFFAOYSA-N,CC(C)C1CCC2C1(C)CCC1(C)C3C(=CCC21C)C1(C)CCC(O)C(C)(C)C1CC3O,C1=C2C3CCCCC3CCC2C2CCC3CCCC3C2C1,FALSE,TRUE,Similar
29219,ZXWHFWJXLBFYEO-UHFFFAOYSA-N,CC(C)=CCCC(C)=CC1CCC2(C)C(Br)CCC(C)(O)C12,C1CCC2CCCC2C1,FALSE,TRUE,Similar
31106,QGALFKRHZSPTEG-UHFFFAOYSA-N,CC(C)=CC1C(C)CCC2C(C)CCC12O,C1CCC2CCCC2C1,FALSE,TRUE,Similar
31568,SITKOPDZOGHVLY-UHFFFAOYSA-N,CC1CCCC(C)C2CC(C)(C)C2CC1,C1CCCC2CCC2CCC1,FALSE,TRUE,Similar
31720,OFGCDEUJOOZBRL-UHFFFAOYSA-N,C=C(C)C1CCC(C)(OC)C2CCC(C)C2C1,C1CCC2CCCC2CC1,FALSE,TRUE,Similar
33016,LSACXWBGTOJFEP-UHFFFAOYSA-N,CC(C)C1CCC2(C)CCC3(C)C(=CCC4C5(C)CCC(O)C(C)(C)C5CCC43C)C12,C1=C2C3CCCC3CCC2C2CCC3CCCCC3C2C1,FALSE,TRUE,Similar
33520,QHMVDJGMBDTIEY-UHFFFAOYSA-N,C=C(C(=O)O)C1CCC2(C)CCC(O)C2(C(C)=O)C1,C1CCC2CCCC2C1,FALSE,TRUE,Similar
33718,CXQOZINRAFPQEX-UHFFFAOYSA-N,CC(C)C1CCC(C)(O)C2CCC(C)(O)C2C1O,C1CCC2CCCC2CC1,FALSE,TRUE,Similar
33786,OOVYFGQDUNZBAS-UHFFFAOYSA-N,CC(C)(O)CC1CCC2(C)C(O)C(O)CC(C)(O)C12,C1CCC2CCCC2C1,FALSE,TRUE,Similar
33920,PZXKVMLXLHHEGS-UHFFFAOYSA-N,CC(C)C1CCC2C1(C)CCC1(C)C3CCC4C(C)(CCC(C)C4(C)C)C3=CCC21C,C1=C2C3CCCCC3CCC2C2CCC3CCCC3C2C1,FALSE,TRUE,Similar
34434,JOARPSTUQGJONT-UHFFFAOYSA-N,CC(C)=CC1(O)C(C)CCC2C(C)CCC21,C1CCC2CCCC2C1,FALSE,TRUE,Similar
39989,TUCSIUBDOHTKKQ-UHFFFAOYSA-N,C=CC1(O)CCC2(C)C(C)CCC2(C)C1C,C1CCC2CCCC2C1,FALSE,TRUE,Similar
40681,DSIZXZISLDRGBM-UHFFFAOYSA-N,CC1CCC2C(C)CCCC(C)(C)C2C1,C1CCC2CCCCC2CC1,FALSE,TRUE,Similar
41477,TUKMYOLTOOBHQF-UHFFFAOYSA-N,CC(C)C1CCC(C)C2CCCC2(C)C1,C1CCC2CCCC2CC1,FALSE,TRUE,Similar
41765,HASSBFRDJUITDM-UHFFFAOYSA-N,CC(C)(O)C1CC2C(CCC2(C)O)C(C)(O)CC1O,C1CCC2CCCC2CC1,FALSE,TRUE,Similar
42369,CGKHVNUMMHTZJY-UHFFFAOYSA-N,C=C(C)C1C(O)CC2(C)C1CCC(C)(O)C2C,C1CCC2CCCC2C1,FALSE,TRUE,Similar
42518,SJFIYVCSGNWVPJ-UHFFFAOYSA-N,CC(=O)OC1CC(C)C(C=O)C2(O)C1C(C)(C)CC2(C)C=O,C1CCC2CCCC2C1,FALSE,TRUE,Similar
44009,SARMJLPHTLNPQI-UHFFFAOYSA-N,CC=C(C)C(=O)OC1CC2(C)CCC(C(C)C)C2(O)CCC1(C)O,C1CCC2CCCC2CC1,FALSE,TRUE,Similar
45730,PECCCWAOADXQBC-UHFFFAOYSA-N,C=C(C)CC1CCC2(C)C(O)CCC(C)(O)C12,C1CCC2CCCC2C1,FALSE,TRUE,Similar
53249,XQKXCKCZBAMERY-UHFFFAOYSA-N,CC(C)C1CC(C)(C)CC2(O)C(C)(O)C(Cl)CC12O,C1CCC2CCCC2C1,FALSE,TRUE,Similar
60041,JSANAILUYYDJOG-UHFFFAOYSA-N,C=C(C(=O)O)C1CCC(C)C2CCC(OC(C)=O)C2(C)C1,C1CCC2CCCC2CC1,FALSE,TRUE,Similar
60144,VTJQRZKWDGRSMU-UHFFFAOYSA-N,C=C(C(=O)O)C1CCC(C)C2CCC(O)C2(C)C1,C1CCC2CCCC2CC1,FALSE,TRUE,Similar
62673,IDFYSKLLXDETRG-UHFFFAOYSA-N,CC(C)C1CCC2C1(C)CCC1(C)C3CCC4C(C)(C)CCCC4(C(=O)O)C3=CCC21C,C1=C2C3CCCCC3CCC2C2CCC3CCCC3C2C1,FALSE,TRUE,Similar
63671,CZXKCKSITMMTPE-UHFFFAOYSA-N,CC(=O)C1CC2C(C)(N=C=S)CCC(C(C)C)C2(O)C1O,C1CCC2CCCC2C1,FALSE,TRUE,Similar
63707,PUQRTRWMWYNMDM-UHFFFAOYSA-N,CC(=O)C12CCCC1(C)CCC(C(C)C)C2,C1CCC2CCCC2C1,FALSE,TRUE,Similar
64623,YEZCFSPPFDTKFE-UHFFFAOYSA-N,CC(=O)OC1CC2C(C)(C)CC(C)(C=O)C2(O)C(C=O)C1C,C1CCC2CCCC2C1,FALSE,TRUE,Similar
67027,AFKMHDZOVNDWLO-UHFFFAOYSA-N,OC1CCC(C2CCCCC2)CC1,C1CCC(C2CCCCC2)CC1,FALSE,TRUE,Similar
69192,LFAYEJZQNPMJBD-UHFFFAOYSA-N,C=C(C)C1CC(O)C2(C(C)=O)CCC(C)C2C1,C1CCC2CCCC2C1,FALSE,TRUE,Similar
70069,OGANGEPKFAUGDC-UHFFFAOYSA-N,CC(=O)OC1CC(C)C(C=O)C2(O)C1C(C)(C)CC2(C)C(=O)O,C1CCC2CCCC2C1,FALSE,TRUE,Similar
70153,HUQLDUXYHVFPRA-UHFFFAOYSA-N,CC(C)C(=O)C1CCC2(O)CCCC(C)C12C,C1CCC2CCCC2C1,FALSE,TRUE,Similar
71027,FBKFZIGTPRAJFI-UHFFFAOYSA-N,CC(C)C1CCC(C)(O)C2CCC(C(=O)CO)C12,C1CCC2CCCC2C1,FALSE,TRUE,Similar
71403,NEJWBGSUEYGAGE-UHFFFAOYSA-N,CC(C)=CC1CCC2(C)C(Br)CCC(C)(O)C12,C1CCC2CCCC2C1,FALSE,TRUE,Similar
73827,JWQDJXFGFNQZNP-UHFFFAOYSA-N,CC(C(=O)O)C1(O)CCC2C3=CCC4C5(C)CC(O)C(O)C(C)(C)C5CCC4(C)C3(C)CCC21C,C1=C2C3CCCC3CCC2C2CCC3CCCCC3C2C1,FALSE,TRUE,Similar
74506,VBXAFEYVTZXMPM-UHFFFAOYSA-N,CC1CC(O)C2C(C)(C)CC(C)(C(=O)O)C2(O)C1C=O,C1CCC2CCCC2C1,FALSE,TRUE,Similar
75285,DZXAXKUHDLGMSG-UHFFFAOYSA-N,COC(=O)C1C(C)CC(OC(C)=O)C2C(C)(C)CC(C)(CO)C12O,C1CCC2CCCC2C1,FALSE,TRUE,Similar
76535,NTSNDVXMQVLQPO-UHFFFAOYSA-N,CC1CCC(O)(C2CC2)CC1O,C1CCC(C2CC2)CC1,FALSE,TRUE,Similar
77246,CFSDWXPIIWGIDB-UHFFFAOYSA-N,CC(C)C1CCC2C3=CCC4C5(C)CCCC(C)(C)C5CCC4(C)C3(C)CCC21C,C1=C2C3CCCC3CCC2C2CCC3CCCCC3C2C1,FALSE,TRUE,Similar
77459,VMHVLIDJNCCRLE-UHFFFAOYSA-N,C=C(C)C(=O)C1CCC2(O)CCCC(C)C12C,C1CCC2CCCC2C1,FALSE,TRUE,Similar
77763,VZFZTNQVDXDENW-UHFFFAOYSA-N,CC(C)C1(O)CCC2(C)CCCC(C)(O)C(O)C21,C1CCC2CCCC2CC1,FALSE,TRUE,Similar
77814,WTQQWFFTXHFCPX-UHFFFAOYSA-N,CC(C)C1(O)C(O)CC2(C)CCC(CO)CCC21,C1CCC2CCCC2CC1,FALSE,TRUE,Similar
78964,FXWAZZIXKNFADB-UHFFFAOYSA-N,CC(C)C1CCC2C1(CO)CCC1(C)C3CCC4C(C)(C)CCCC4(C)C3=CCC21C,C1=C2C3CCCCC3CCC2C2CCC3CCCC3C2C1,FALSE,TRUE,Similar
79108,JNGBHARWIKYVCH-UHFFFAOYSA-N,CC(C)C1CCC2C1(C)CCC1(C)C3CC(O)C4C(C)(C)CCCC4(C)C3=CCC21C,C1=C2C3CCCCC3CCC2C2CCC3CCCC3C2C1,FALSE,TRUE,Similar
79408,IFWDCMIBLSJBHT-UHFFFAOYSA-N,CC(C)C1CCC2C3=CCC4C5(C)CCC(O)C(C)(C)C5CCC4(C)C3(C)CCC21C(=O)O,C1=C2C3CCCC3CCC2C2CCC3CCCCC3C2C1,FALSE,TRUE,Similar
79628,HCLBHWFWGBSTRW-UHFFFAOYSA-N,CC=C(C)C(=O)OCC1(O)CCC(C(C)C)C2C(C(C)=O)CCC21,C1CCC2CCCC2C1,FALSE,TRUE,Similar
80476,SCPKNPXTPRNPOH-UHFFFAOYSA-N,CC(=O)C1C(O)CC2C1C(C(C)C)CCC2(C)O,C1CCC2CCCC2C1,FALSE,TRUE,Similar
